                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4151,                 2.4813,                 1.5898,                 1.3941,                  5.207,                 1.5542,                0.64904,                0.14344,                0.16351,                0.07372,                 2.2704,                 3.5462,                 2.5393,                 2.3285,                 17.652,                  2.558,             0.00047515,             0.00047515,             0.00047515
                      2,                  1.527,                 2.1288,                 1.6217,                 1.6025,                 2.3555,                  1.619,                0.39031,                0.48379,                0.44189,                0.24197,                   1.52,                  3.846,                 1.6932,                 1.5321,                 3.0197,                 1.6449,             0.00088869,             0.00088869,             0.00088869
                      3,                 1.4794,                 1.9873,                 1.5716,                 1.5512,                 2.2229,                 1.5668,                0.65507,                0.49896,                0.57527,                0.34624,                 1.2591,                 1.7327,                 1.4834,                 1.3533,                 1.8483,                 1.5311,              0.0012393,              0.0012393,              0.0012393
                      4,                 1.3956,                 1.7899,                 1.5142,                 1.4799,                 1.9985,                  1.513,                0.68642,                0.52565,                0.63043,                0.37698,                 1.2544,                 1.5954,                 1.4154,                 1.3083,                  1.664,                 1.4304,              0.0011461,              0.0011461,              0.0011461
                      5,                 1.3217,                 1.6153,                 1.4564,                 1.4052,                 1.7723,                 1.4631,                0.63315,                0.61392,                0.66312,                0.42539,                 1.1768,                 1.2614,                 1.3517,                 1.2347,                 1.3249,                 1.4035,              0.0011461,              0.0011461,              0.0011461
                      6,                 1.1584,                  1.175,                 1.3814,                  1.241,                 1.2175,                  1.411,                 0.7315,                0.72662,                0.75014,                0.49934,                 1.1514,                 1.1134,                 1.3345,                 1.2494,                  1.092,                 1.3806,              0.0010517,              0.0010517,              0.0010517
                      7,                 1.1027,                  1.075,                 1.3442,                 1.1973,                 1.0932,                  1.378,                0.71586,                0.78445,                0.80415,                0.55909,                 1.0244,                0.97571,                 1.2458,                 1.1007,                0.99439,                 1.2687,             0.00095743,             0.00095743,             0.00095743
                      8,                 1.0427,                0.93353,                 1.3001,                 1.1303,                0.93782,                  1.331,                0.75708,                0.74999,                 0.8189,                0.54976,                 1.1453,                0.95197,                 1.3102,                 1.1928,                 0.9403,                 1.3238,             0.00086312,             0.00086312,             0.00086312
                      9,                0.98203,                0.83284,                 1.2544,                  1.061,                0.83191,                 1.2835,                0.78185,                0.80491,                0.86376,                0.60243,                 1.0184,                0.83188,                 1.2005,                 1.1024,                 0.8079,                 1.2419,              0.0007688,              0.0007688,              0.0007688
                     10,                0.92517,                0.73434,                 1.2025,                0.99276,                0.73679,                 1.2337,                0.85245,                0.78448,                0.88285,                0.62873,                 0.9732,                0.73742,                 1.1835,                 1.0201,                0.75836,                 1.1944,             0.00067449,             0.00067449,             0.00067449
                     11,                0.88861,                 0.6946,                 1.1842,                0.94775,                0.67552,                 1.2081,                0.89785,                 0.8242,                0.90192,                0.65595,                0.95168,                0.72193,                 1.1616,                0.98851,                0.67043,                 1.1688,             0.00058017,             0.00058017,             0.00058017
                     12,                0.84825,                0.61287,                 1.1474,                0.90096,                0.57969,                 1.1677,                0.88987,                0.82074,                0.89437,                0.67924,                0.90105,                0.69866,                 1.1482,                0.92871,                0.69279,                 1.1415,             0.00048586,             0.00048586,             0.00048586
                     13,                0.81258,                0.56172,                 1.1253,                0.86325,                0.52681,                 1.1493,                0.87902,                0.87223,                0.91745,                0.69314,                0.87519,                0.59828,                 1.1223,                0.92032,                0.57903,                 1.1377,             0.00039155,             0.00039155,             0.00039155
                     14,                0.76633,                0.51416,                 1.0926,                0.82127,                0.48219,                 1.1178,                0.89916,                0.90493,                0.92554,                0.71221,                0.86206,                0.56498,                 1.1025,                 0.8976,                0.50469,                 1.1178,             0.00029723,             0.00029723,             0.00029723
                     15,                0.73023,                0.47275,                 1.0757,                0.77406,                0.43692,                 1.0943,                0.93671,                0.86442,                0.94524,                0.73182,                0.83928,                0.50944,                 1.0917,                0.87603,                0.45952,                 1.1152,             0.00020292,             0.00020292,             0.00020292
